term,definition
Build Pipeline,The automated sequence that builds tests packages and prepares software for release.
CI/CD,An automated delivery practice that continuously integrates changes and deploys them safely.
Branch Protection,Repository rules that restrict risky changes to important branches.
Code Review,A peer validation process that improves quality correctness and security before merge.
Security Champion,A team member who promotes security practices inside a delivery team.
Penetration Testing,An authorized exercise that simulates real attacks to identify exploitable weaknesses.
Red Team,A group that emulates adversaries to test detection response and resilience.
Blue Team,A group responsible for defending systems detecting threats and responding to incidents.
Purple Team,A collaborative approach that aligns offensive testing with defensive improvement.
Bug Bounty,A program that rewards external researchers for responsibly reporting vulnerabilities.
Honeypot,A decoy system designed to attract observe and study malicious activity.
Network Segmentation,A design that limits lateral movement by separating networks into controlled zones.
Zero Trust,A model that requires continuous verification and does not assume implicit trust.
Lateral Movement,An attacker technique used to move from one compromised asset to others.
Blast Radius,The scope of impact that a single compromise or failure can cause.
Data Loss Prevention,A set of controls that detect and prevent unauthorized data exposure or exfiltration.
Log Retention,A policy that defines how long logs must be stored and remain accessible.
Tamper-Evident Logging,A logging approach that makes unauthorized modification detectable through integrity controls.
Compliance as Code,The automation of regulatory and internal control checks through executable rules.
Secure Defaults,Settings that are safe by default without requiring extra hardening by users.
Rate Limiting,A control that restricts request volume to reduce abuse resource exhaustion and brute force attacks.
Input Validation,A practice of checking data for type length format and allowed values before use.
Output Encoding,A defense that transforms untrusted data before rendering it in a sensitive context.
Dependency Pinning,A practice of locking dependency versions to improve reproducibility and reduce unexpected drift.
Rollback Plan,A prepared method for safely returning to a known good state after a bad release.
Canary Release,A gradual deployment pattern that exposes a change to a small audience before full rollout.
Feature Flag,A runtime switch that enables or disables functionality without redeploying code.
Secret Scanning,A process that detects exposed credentials tokens and keys in code or artifacts.
